#, movie, href, release date, gross
"95", "Transformers: Age of Extinction (Paramount)", "/statistics/movies/transformers-4-2014", "Jun 27, 2014", "$245,439,076"
"96", "Cars (Disney)", "/statistics/movies/cars-2006", "Jun 09, 2006", "$244,082,964"
"97", "Bruce Almighty (Universal)", "/statistics/movies/bruce-almighty-2003", "May 23, 2003", "$242,829,757"
"98", "Ghostbusters (1984) (Columbia)", "/statistics/movies/ghostbusters-1984", "Jun 08, 1984", "$242,212,467"
"99", "Twister (1996) (Warner Bros.)", "/statistics/movies/twister-1996", "May 10, 1996", "$241,721,884"
"100", "My Big Fat Greek Wedding (IFC Films)", "/statistics/movies/my-big-fat-greek-wedding-2002", "Apr 19, 2002", "$241,438,568"
"101", "Maleficent (Disney)", "/statistics/movies/maleficent-2014", "May 30, 2014", "$241,410,378"
"102", "Pirates of the Caribbean: On Stranger Tides (Disney)", "/statistics/movies/pirates-of-the-caribbean-on-stranger-tides-2011", "May 20, 2011", "$241,071,802"
"103", "Minions (Universal)", "/statistics/movies/untitled-minions-project-in-3d-2014", "Jul 10, 2015", "$239,520,410"
"104", "Fast & Furious 6 (Universal)", "/statistics/movies/the-fast-and-the-furious-6-2012", "May 24, 2013", "$238,679,850"
"105", "Shrek Forever After (Paramount / DreamWorks)", "/statistics/movies/shrek-forever-after-2010", "May 21, 2010", "$238,395,990"
"106", "Brave (Disney)", "/statistics/movies/the-bear-and-the-bow-1900", "Jun 22, 2012", "$237,283,207"
"107", "Oz: The Great and Powerful (Disney)", "/statistics/movies/oz-the-great-and-powerful-2013", "Mar 08, 2013", "$234,911,825"
"108", "Beverly Hills Cop (1984) (Paramount)", "/statistics/movies/beverly-hills-cop-1984", "Dec 05, 1984", "$234,760,312"
"109", "X-Men: The Last Stand (Fox)", "/statistics/movies/x-men-the-last-stand-2006", "May 26, 2006", "$234,362,795"
"110", "War of the Worlds (Paramount)", "/statistics/movies/war-of-the-worlds-2005", "Jun 29, 2005", "$234,280,479"
"111", "X-Men: Days of Future Past (Fox)", "/statistics/movies/untitled-x-men-2014", "May 23, 2014", "$233,921,534"
"112", "Cast Away (Fox)", "/statistics/movies/cast-away-2000", "Dec 22, 2000", "$233,632,386"
"113", "The Lost World: Jurassic Park (Universal)", "/statistics/movies/the-lost-world-jurassic-park-1997", "May 23, 1997", "$229,086,940"
"114", "Star Trek Into Darkness (Paramount)", "/statistics/movies/untitled-star-trek-sequel-2012", "May 16, 2013", "$228,778,661"
"115", "Signs (Disney)", "/statistics/movies/signs-2002", "Aug 02, 2002", "$227,966,979"
"116", "Hancock (Sony / Columbia)", "/statistics/movies/hancock-2008", "Jul 02, 2008", "$227,946,076"
"117", "The Bourne Ultimatum (Universal)", "/statistics/movies/the-bourne-ultimatum-2007", "Aug 03, 2007", "$227,471,923"
"118", "Rush Hour 2 (New Line)", "/statistics/movies/rush-hour-2-2001", "Aug 03, 2001", "$226,164,771"
"119", "WALL-E (Disney)", "/statistics/movies/wall-e-2008", "Jun 27, 2008", "$223,808,838"
"120", "Big Hero 6 (Disney)", "/statistics/movies/big-hero-6-2014", "Nov 07, 2014", "$222,527,828"
"121", "National Treasure: Book of Secrets (Disney)", "/statistics/movies/national-treasure-book-of-secrets-2007", "Dec 21, 2007", "$219,964,410"
"122", "Alvin and the Chipmunks: The Squeakquel (Fox)", "/statistics/movies/alvin-and-the-chipmunks-the-squeakuel-2009", "Dec 23, 2009", "$219,615,000"
"123", "Mrs. Doubtfire (Fox)", "/statistics/movies/mrs-doubtfire-1993", "Nov 24, 1993", "$219,195,038"
"124", "Beauty and the Beast (1991) (Disney)", "/statistics/movies/beauty-and-the-beast-1991", "Nov 13, 1991", "$218,967,717"
"125", "Ted (2012) (Universal)", "/statistics/movies/ted-2012", "Jun 29, 2012", "$218,665,740"
"126", "King Kong (2005) (Universal)", "/statistics/movies/king-kong-2005", "Dec 14, 2005", "$218,135,164"
"127", "Ghost (Paramount)", "/statistics/movies/ghost-1990", "Jul 13, 1990", "$217,631,141"
"128", "How to Train Your Dragon (Paramount / DreamWorks)", "/statistics/movies/how-to-train-your-dragon-2010", "Mar 26, 2010", "$217,581,231"
"129", "The Da Vinci Code (Sony / Columbia)", "/statistics/movies/the-da-vinci-code-2006", "May 19, 2006", "$217,536,399"
"130", "Aladdin (Disney)", "/statistics/movies/aladdin-1992", "Nov 11, 1992", "$217,350,045"
"131", "Alvin and the Chipmunks (Fox)", "/statistics/movies/alvin-and-the-chipmunks-2007", "Dec 14, 2007", "$217,326,629"
"132", "Madagascar 3: Europe's Most Wanted (Paramount / DreamWorks)", "/statistics/movies/madagascar-3-working-title-2012", "Jun 08, 2012", "$216,391,482"
"133", "Saving Private Ryan (DreamWorks)", "/statistics/movies/saving-private-ryan-1998", "Jul 24, 1998", "$216,335,032"
"134", "Kung Fu Panda (Paramount / DreamWorks)", "/statistics/movies/kung-fu-panda-2008", "Jun 06, 2008", "$215,434,591"
"135", "Mission: Impossible II (Paramount)", "/statistics/movies/mission-impossible-ii-2000", "May 24, 2000", "$215,409,290"
"136", "X2: X-Men United (Fox)", "/statistics/movies/x2-x-men-united-2003", "May 02, 2003", "$214,949,672"
"137", "Dr. Seuss' The Lorax (Universal)", "/statistics/movies/dr-seuss-the-lorax-2012", "Mar 02, 2012", "$214,030,500"
"138", "Austin Powers in Goldmember (New Line)", "/statistics/movies/austin-powers-in-goldmember-2002", "Jul 26, 2002", "$213,243,496"
"139", "300 (Warner Bros.)", "/statistics/movies/300-2007", "Mar 09, 2007", "$210,614,690"
"140", "Back to the Future (Universal)", "/statistics/movies/back-to-the-future-1985", "Jul 03, 1985", "$210,609,043"
"141", "Fast Five (Universal)", "/statistics/movies/fast-five-2011", "Apr 29, 2011", "$209,837,675"
"142", "Mission: Impossible - Ghost Protocol (Paramount)", "/statistics/movies/mission-impossible-iv-2011", "Dec 16, 2011", "$209,397,903"
"143", "Wedding Crashers (New Line)", "/statistics/movies/wedding-crashers-2005", "Jul 15, 2005", "$209,218,166"
"144", "Sherlock Holmes (Warner Bros.)", "/statistics/movies/sherlock-holmes-2009", "Dec 25, 2009", "$209,028,670"
"145", "Dawn of The Planet of The Apes (Fox)", "/statistics/movies/dawn-of-the-planet-of-the-apes-2014", "Jul 11, 2014", "$208,545,589"
"146", "Batman Begins (Warner Bros.)", "/statistics/movies/batman-begins-2005", "Jun 15, 2005", "$206,852,432"
"147", "Charlie and the Chocolate Factory (Warner Bros.)", "/statistics/movies/charlie-and-the-chocolate-factory-2005", "Jul 15, 2005", "$206,459,266"
"148", "Ratatouille (Disney)", "/statistics/movies/ratatouille-2007", "Jun 29, 2007", "$206,445,374"
"149", "Thor: The Dark World (Disney)", "/statistics/movies/thor-2-2013", "Nov 08, 2013", "$206,362,140"
"150", "Austin Powers: The Spy Who Shagged Me (New Line)", "/statistics/movies/austin-powers-the-spy-who-shagged-me-1999", "Jun 11, 1999", "$206,040,556"
"151", "Terminator 2: Judgment Day (TriStar)", "/statistics/movies/terminator-2-judgment-day-1991", "Jul 03, 1991", "$204,843,975"
"152", "The Exorcist (Warner Bros.)", "/statistics/movies/the-exorcist-1973", "Dec 26, 1973", "$204,671,948"
"153", "The Amazing Spider-Man 2 (Sony / Columbia)", "/statistics/movies/the-amazing-spider-man-2-2014", "May 02, 2014", "$202,853,933"
"154", "World War Z (Paramount)", "/statistics/movies/world-war-z-2012", "Jun 21, 2013", "$202,359,711"
"155", "The Mummy Returns (Universal)", "/statistics/movies/the-mummy-returns-2001", "May 04, 2001", "$202,019,384"
"156", "Armageddon (Disney)", "/statistics/movies/armageddon-1998", "Jul 01, 1998", "$201,578,020"
"157", "Cinderella (2015) (Disney)", "/statistics/movies/cinderella-2015-2015", "Mar 13, 2015", "$200,849,342"
"158", "Tangled (Disney)", "/statistics/movies/tangled-2010", "Nov 24, 2010", "$200,821,936"
"159", "Godzilla (2014) (Warner Bros.)", "/statistics/movies/untitled-godzilla-film-2014", "May 16, 2014", "$200,676,069"
"160", "Gone with the Wind (MGM)", "/statistics/movies/gone-with-the-wind-1939", "Dec 15, 1939", "$200,276,459"
"161", "Superman Returns (Warner Bros.)", "/statistics/movies/superman-returns-2006", "Jun 28, 2006", "$200,081,220"
"162", "Pearl Harbor (Disney)", "/statistics/movies/pearl-harbor-2001", "May 25, 2001", "$198,542,513"
"163", "Monsters vs. Aliens (Paramount / DreamWorks)", "/statistics/movies/monsters-vs-aliens-2009", "Mar 27, 2009", "$198,351,649"
"164", "Happy Feet (Warner Bros.)", "/statistics/movies/happy-feet-2006", "Nov 17, 2006", "$198,000,841"
"165", "Indiana Jones and the Last Crusade (Paramount)", "/statistics/movies/indiana-jones-and-the-last-crusade-1989", "May 24, 1989", "$197,171,932"
"166", "Ice Age: Dawn of the Dinosaurs (Fox)", "/statistics/movies/ice-age-dawn-of-the-dinosaurs-2009", "Jul 01, 2009", "$196,573,063"
"167", "Ice Age: The Meltdown (Fox)", "/statistics/movies/ice-age-the-meltdown-2006", "Mar 31, 2006", "$195,330,482"
"168", "Madagascar (DreamWorks)", "/statistics/movies/madagascar-2005", "May 27, 2005", "$193,595,331"
"169", "Twilight (2008) (Summit)", "/statistics/movies/twilight-2008", "Nov 21, 2008", "$192,769,480"
"170", "Toy Story (Disney)", "/statistics/movies/toy-story-1995", "Nov 22, 1995", "$191,796,910"
"171", "22 Jump Street (Sony / Columbia)", "/statistics/movies/21-jump-street-2-2014", "Jun 13, 2014", "$191,719,337"
"172", "Cars 2 (Disney)", "/statistics/movies/cars-2-2011", "Jun 24, 2011", "$191,452,396"
"173", "Teenage Mutant Ninja Turtles (2014) (Paramount)", "/statistics/movies/teenage-mutant-ninja-turtles-2013", "Aug 08, 2014", "$191,204,754"
"174", "Men in Black II (Sony / Columbia)", "/statistics/movies/men-in-black-ii-2002", "Jul 03, 2002", "$190,418,608"
"175", "Wreck-It Ralph (Disney)", "/statistics/movies/reboot-ralph-2013", "Nov 02, 2012", "$189,422,889"
"176", "Grease (Paramount)", "/statistics/movies/grease-1978", "Jun 16, 1978", "$188,389,752"
"177", "Interstellar (Paramount)", "/statistics/movies/interstellar-2014", "Nov 05, 2014", "$188,020,017"
"178", "Gladiator (2000) (DreamWorks)", "/statistics/movies/gladiator-2000", "May 05, 2000", "$187,705,497"
"179", "The Croods (Fox / DreamWorks Animation)", "/statistics/movies/the-croods-working-title-2012", "Mar 22, 2013", "$187,168,425"
"180", "Sherlock Holmes: A Game of Shadows (Warner Bros.)", "/statistics/movies/sherlock-holmes-2-2011", "Dec 16, 2011", "$186,848,418"
"181", "The Day After Tomorrow (Fox)", "/statistics/movies/the-day-after-tomorrow-2004", "May 28, 2004", "$186,740,702"
"182", "Mr. & Mrs. Smith (2005) (Fox)", "/statistics/movies/mr-mrs-smith-2005", "Jun 10, 2005", "$186,336,564"
"183", "Snow White and the Seven Dwarfs (Disney / RKO)", "/statistics/movies/snow-white-and-the-seven-dwarfs-1937", "Dec 21, 1937", "$184,925,342"
"184", "Dances with Wolves (Orion)", "/statistics/movies/dances-with-wolves-1990", "Nov 09, 1990", "$184,208,763"
"185", "Batman Forever (Warner Bros.)", "/statistics/movies/batman-forever-1995", "Jun 16, 1995", "$184,134,515"
"186", "The Fugitive (1993) (Warner Bros.)", "/statistics/movies/the-fugitive-1993", "Aug 06, 1993", "$183,875,616"
"187", "Pitch Perfect 2 (Universal)", "/statistics/movies/pitch-perfect-2-2014", "May 15, 2015", "$183,560,925"
"188", "Ocean's Eleven (Warner Bros.)", "/statistics/movies/ocean-s-eleven-2001", "Dec 07, 2001", "$183,417,424"
"189", "The Polar Express (Warner Bros.)", "/statistics/movies/the-polar-express-2004", "Nov 10, 2004", "$183,372,006"
"190", "The Simpsons Movie (Fox)", "/statistics/movies/the-simpsons-movie-2007", "Jul 27, 2007", "$183,135,831"
"191", "What Women Want (2000) (Paramount)", "/statistics/movies/what-women-want-2000", "Dec 15, 2000", "$182,811,707"
"192", "The Perfect Storm (Warner Bros.)", "/statistics/movies/the-perfect-storm-2000", "Jun 30, 2000", "$182,618,117"
"193", "Lincoln (Disney / DreamWorks)", "/statistics/movies/lincoln-2012", "Nov 09, 2012", "$182,207,973"
"194", "Liar Liar (Universal)", "/statistics/movies/liar-liar-1997", "Mar 21, 1997", "$181,410,469"
"195", "Jurassic Park III (Universal)", "/statistics/movies/jurassic-park-iii-2001", "Jul 18, 2001", "$181,171,459"
"196", "Thor (Paramount)", "/statistics/movies/thor-2011", "May 06, 2011", "$181,030,624"
"197", "Mission: Impossible (Paramount)", "/statistics/movies/mission-impossible-1996", "May 22, 1996", "$180,981,223"
"198", "Planet of the Apes (2001) (Fox)", "/statistics/movies/planet-of-the-apes-2001", "Jul 27, 2001", "$180,011,204"
"199", "Madagascar: Escape 2 Africa (Paramount / DreamWorks)", "/statistics/movies/madagascar-escape-2-africa-2008", "Nov 07, 2008", "$180,010,757"
"200", "X-Men Origins: Wolverine (Fox)", "/statistics/movies/x-men-origins-wolverine-2009", "May 01, 2009", "$179,879,302"
"201", "Indiana Jones and the Temple of Doom (Paramount)", "/statistics/movies/indiana-jones-and-the-temple-of-doom-1984", "May 23, 1984", "$179,870,426"
"202", "Top Gun (Paramount)", "/statistics/movies/top-gun-1986", "May 16, 1986", "$179,800,601"
"203", "Hitch (Sony / Columbia)", "/statistics/movies/hitch-2005", "Feb 11, 2005", "$179,495,994"
"204", "Men in Black 3 (Sony / Columbia)", "/statistics/movies/men-in-black-3-2012", "May 25, 2012", "$179,020,854"
"205", "Pretty Woman (Disney)", "/statistics/movies/pretty-woman-1990", "Mar 23, 1990", "$178,406,922"
"206", "Night at the Museum: Battle of the Smithsonian (Fox)", "/statistics/movies/night-at-the-museum-battle-of-the-smithsonian-2009", "May 22, 2009", "$177,241,680"
"207", "Tootsie (Columbia)", "/statistics/movies/tootsie-1982", "Dec 17, 1982", "$177,200,382"
"208", "How to Train Your Dragon 2 (Fox / DreamWorks Animation)", "/statistics/movies/how-to-train-your-dragon-sequel-2014", "Jun 13, 2014", "$177,002,924"
"209", "Rise of the Planet of the Apes (Fox)", "/statistics/movies/rise-of-the-apes-2011", "Aug 05, 2011", "$176,760,185"
"210", "Captain America: The First Avenger (Paramount)", "/statistics/movies/the-first-avenger-captain-america-2011", "Jul 22, 2011", "$176,654,505"
"211", "The Karate Kid (2010) (Sony / Columbia)", "/statistics/movies/the-karate-kid-2010", "Jun 11, 2010", "$176,591,618"
"212", "There's Something About Mary (Fox)", "/statistics/movies/there-s-something-about-mary-1998", "Jul 15, 1998", "$176,489,373"
"213", "Home (2015) (Fox / DreamWorks Animation)", "/statistics/movies/happy-smekday-2014", "Mar 27, 2015", "$176,408,583"
"214", "Ice Age (Fox)", "/statistics/movies/ice-age-2002", "Mar 15, 2002", "$176,387,755"
"215", "The Bourne Supremacy (Universal)", "/statistics/movies/the-bourne-supremacy-2004", "Jul 23, 2004", "$176,241,271"
"216", "Crocodile Dundee (Paramount)", "/statistics/movies/crocodile-dundee-1986", "Sep 26, 1986", "$174,803,471"
"217", "Apollo 13 (Universal)", "/statistics/movies/apollo-13-1995", "Jun 30, 1995", "$173,837,410"
"218", "Home Alone 2: Lost in New York (Fox)", "/statistics/movies/home-alone-2-lost-in-new-york-1992", "Nov 20, 1992", "$173,585,649"
"219", "Elf (New Line)", "/statistics/movies/elf-2003", "Nov 07, 2003", "$173,398,832"
